Sno,Text,State
1,"Hi, welcome to Pizza Hut. My name is Christine may have your name please.Hi dear, I ipis order with somebody called **** just now. I place for two pizzas but once you place the order before the reference number given the line got disconnected.So I placed the order.So she said it'll go through, but I asked him to bring the first machine is intending on. But, uh, The thing is she said yes. Then I could see everything was finalized and 995.And then before the reference number line got cut off.And I do you remember who you talk too?****, ****.Alright, hold on, please let me go ahead and double check if she had requested for a mobile app. Plus what's your name please I'm sorry.V for Victor. If Alpha is for Sam.If Alpha in Fanelli I give you my friend name, I give you want my first name or surname. Actually your whole name that will be better.Full name Yes, you want the full name. OK, OK V for Victor. If Alpha is for Sam. If Alpha, informally diva Tom. It's for hotel I for India in for Nancy. I feel India, Basanti Neosho young. Can a living also of course. And Shanker is my surname, it's not them. It's for hotel. If Alpha.In Finance Ekipa Kite if AAR Shankar.Sir, kindly stay on the line real quick while I go ahead and talk with **** or get someone to double check. I didn't make sure that that she ordered the pizza for dinner. So basically I want the pizza but because the line got disconnected I don't know whether she put the order through. Do you understand?Yes, I understand one moment please. I'll go ahead an get in touch down the line, please.",Null
2,"Hi, welcome to a Pizza Hut is Chris may have your name please.See, I'm paid it out like heaven.I'm sorry.Is this a Pizza Hut like heaven?I know you are you are routed to Pizza Hut Contact Center, but I can assist you in placing the order if you want.Oh no, we've replaced in order. We will just wondering when it was set to arrive.I see so you're following up on your order. Uh, May I know the phone number that you, uh, use or enter when you place the order so that I can pull up the order receipt an I'll try to track the order.If you can play smite.Sorry.If you can place.Yes, I may I have.Would you like me to connect you directly to the store?Just tried to order from your side if you can.OK, uh, yeah I was asking for the mobile number or or or.****Uh-huh***.Do feel free.And the store is a Pizza Hut. Lake Haven.Yeah.OK, give me a second. Let me just pull up an order receipt OK?Bear with me.OK, uh, entering the number that you've given me, it won't show any, or it won't. My system won't pull up any order receipt.So this is the scene.That be better.Uhm, no, actually here's what I'm going to do. Uh, I don't want to waste your time over the phone. Let me just go ahead and call a contact these out Lake Haven. OK, I just need to have your address so that I can follow up on your order.Nice Friday at 12. Have new cable.A number 38. How do you spell the street name?RLSERolfe huh?Yep, camel.Your post code is.Can your post code?Did you fart noise?Can you spell with me?So that's 38 Ralph Ave in Kenvil, NSW.Yes.OK, stay on the line. I'll contact the store. OK, that's Pizza Hut, Why Young?Not like heaven.Call it, set alarm at sorry not iPod ordering system like heaven.So maybe there's a reason why I can pull up any order. Give me a moment, let me just try one more time.Thank you.Bear with me.Yeah, it Jackson bread, right?Yeah.Yeah, it's Pizza Hut why young? Not Pizza Hut? Lake Haven that will deliver the food OK?All right now is actually made. It just turned up. No thank you. OK, thank you so much.Bye bye.",NSW
3,"Thank you for calling Pizza Hut. This is Jenny. May I have your name?Is Pizza Hut in you can.Newtown.Yeah.Are you reached the contact center? Would you like to place an order? I can process that for you and not large bank place.Oh yeah, what is the complaint about?Um, we just ordered um to cooking pizzas from Newcomb Pizza Hut.And they've changed his too.Brandy and at the second time they've done it.And the first time I Rang them up and they told me it was because I read it.The cooking pizzas.And now we just had a delivery which is close to $24.00 and we've got two brownies again.OhI'm really sorry about that, so this is not the first time it happened, right?Now this is the second time, the first time I Rang up and they said the reason they sent them was because they had no cookie pizzas. Well, they should have run it because we don't eat brownies.And I totally understand that.Yeah, so you did not receive any call to advise you that you're going to receive a different one then requested.One we did.Uh, for the order that was placed today, we're just verify what is the mobile number associated to that.Is that your Sophie? If you place the order?I for one *******.Alright, let me just go ahead and try to pull up that order.And I'm just an I'm sorry but send angry, but I'm just really annoyed to this. Is the second time it's happened now.Totally understand that.We both did it true berate?I'm leaving more time and or Rang and I said all we sent it to. There's no cookie Peters. Well, no you let us know.Or, you know, I'll say it's not available.So this is an order placed through a third party then right?Is this what did you try to learn math you?True Berateeat 'cause normally if it's actually if it's going to be, uh, if the customer is and the store to pick it up, the stuff would inform the person what's available.So.I'm not pretty sure if it's have you tried contacting Uber eats contact center?No, because you guys the guys that centers the brownies.And the first curse.Raising my ring is because the first time I Rang and I said, Yeah, we know we sent you the brownie. We've got no cookie pizza, so I'm thinking this has happened again.And last time Uber eats gave us to refund, not Pizza Hut, Pizza Hut's fault?Because I said to me in the phone, we've got no cooking pizzas. That's why we sent you have brownies. I said well.If you got my cookie papers, put it unavailable online.OK, let me try to get in contact.Great.Alright, let me try to get in contact with Pizza Hut Newtown. Do you mind staying on the line?Welcome, Alright.New come let me just check.One moment.Deborah.Alright, do you mind saying the landlord called Pizza Hut Newcombe?Yep, that's fine, thank you.You",Newtown
4,"Thanks for calling Pizza Hut to spell. Can I have your name please?Hi hi *****, are you calling for pick up or three?I wanna delivery thanks.Sure, with your delivery address, please.And you look 3.Naughty I'd Plum Street in nor line.What is your Facebook please?3214Did you see plume St? How do you spell that, please?Play LMI, hang on plane PLUME.Hope from OK Unit 3 number 98 plum St, Norlane Victoria isn't right yeah 3214.What are you getting for today? *****, uh, can I have a small amoyan?We have it in medium and large, So what medium Hawaiian?A bad mom maybe?Then you have no idea.Or you're talking about the the personal band of $5.95.Yes, this is 1.OK, what else I can I have um behind sports events.I'm sorry, the ultimate hot is by far.Yep.Ultimate hot and spicy. New across please.How many class folder?Medium crushed yes thanks Yep.True, and would you like to join us?Garlic bread, no problem. How about the church or drinks?No thanks not.That's all OK. So *****, your order is 1 personal pan Hawaiian and one large automate hot in spicy traditional base one garlic bread. The total amount is $33.85 charge 50.Sorry.Can you change a $50 night? Yeah sure. I'll leave a note here that you need to change for a $50 note.Yep.Yeah, can I have your mobile number *****?Yet if I fall.*******OK show again. This will be delivered to unit 3 number 98 plum St nor Lane in approximately 30 minutes after it cool by the Pizza Hut Belt Post Hill and would you like to receive the user numbers from Pizza Hut via SMS? Not. Thanks, not do you. Do you have additional instruction for me?Now let's see.OK, I have an order reference for you. *****, do you wanna write it down?I'm it's OK.OK, we'll see at 358 for your order. Thank you for calling Pizza Hut. Have a good day. OK, thanks very much bye.",Victoria
5,"Hi, welcome to Pizza Hut. My name is Christine may have your name please.Hi dear, I ipis order with somebody called **** just now. I place for two pizzas but once you place the order before the reference number given the line got disconnected.So I placed the order.So she said it'll go through, but I asked him to bring the first machine is intending on. But, uh, The thing is she said yes. Then I could see everything was finalized and 995.And then before the reference number line got cut off.And I do you remember who you talk too?****, ****.Alright, hold on, please let me go ahead and double check if she had requested for a mobile app. Plus what's your name please I'm sorry.V for Victor. If Alpha is for Sam.If Alpha in Fanelli I give you my friend name, I give you want my first name or surname. Actually your whole name that will be better.Full name Yes, you want the full name. OK, OK V for Victor. If Alpha is for Sam. If Alpha, informally diva Tom. It's for hotel I for India in for Nancy. I feel India, Basanti Neosho young. Can a living also of course. And Shanker is my surname, it's not them. It's for hotel. If Alpha.In Finance Ekipa Kite if AAR Shankar.Sir, kindly stay on the line real quick while I go ahead and talk with **** or get someone to double check. I didn't make sure that that she ordered the pizza for dinner. So basically I want the pizza but because the line got disconnected I don't know whether she put the order through. Do you understand?Yes, I understand one moment please. I'll go ahead an get in touch down the line, please.",Null
6,"Thanks for calling Pizza Hut. This is Jenny. May I have your name?Hello, my name is *********.OK, you spell your name for me.Yep, MUL you mother.Thank you Lou. Are we calling for pick up or delivery?Pick up.What's your post code?6051Alright, let me just check will you pick up from Perth Belmont Basanti nor toward Hill?Belmansright? What can I get for you tonight?Can I please order the hot and spicy chicken pizza?Hey, do you want it on pan, traditional or thin and crispy?Get traditional.Traditional Alright.Anything else you'd like to add?Yes, can I also get the chicken Supreme?Yep.OnCan I get a?Filipino.Filipino OK?Did you wanted on what class traditional?I'm getting crispy original pan.I'll get the.Traditional one.Traditional OK.Anything else you'd like to add? Some pasta or wings? Drank gods plan or desert?Can I get dessert? How much is your heresies brownie?Uh, for the Hershey's brownie that is 995.OK.And the cookie it's 795.OK.Can I get the cookie?All right, yeah?How about some drinks or garlic bread with that?Nana garlic bread that would get a small.Kenneth Clarke, how much you get kind of clerk.$3OK, I'll get a small can of Creek.Alright, would you like the classic no sugar, vanilla or diet?I'll get up.Died.Diet OK.Anything else aside from that, that's all.Alright, let me just do a quick recap of your order. We've got large, hot and spicy chick in large chicken Supreme. No mushroom with jalapenos, both on traditional crust, hersheys cookie and a Diet Coke 375 Millie Can the total is 4585.OK.Yes, that should be an OK. This will be ready for pick up from Pizza Hut Belmont in 15 minutes right after this call to confirm your order in blue. What's your last name, please?Heavy KEWBIand the mobile number.**********.Thank you, would you like to receive occasional deals and offers via SMS?No, it's OK. Thank you alright, and the payment will be made upon pick up right?Yeah.Alright, let me submit the order. Do you want to take note of your order number?Yes please.So the order number that is.A for Alpha #4.EE for echo.#8F for Frank deeper David and zero.Expect the food to be ready at 6:15.OK, no worries. Thank you you're welcome. Have a lovely evening then bye.Thank you for calling Pizza Hut.Pizza Hut.This is Jenny. May I have your name?You do know valid response from your aunt. Hi, thank you for calling Pizza Hut. This is Jenny. May I have your name?Yeah hello, this is ready to go.I'm sorry, can you spell your name for me?RAVITEJAare we calling for pick up, is that right?Yeah, call for pick up. What's your post code please?Alright, one moment.Fundur, What's your post code, please?3071307mine.All right?And, uh, what can I get for you tonight?Yeah, can I have to hurt you? Feed us.To Hershey's cookie, what else happened that any pasta or wings, pizza, drinks or a garlic bread?No no, no, only pizza. Just two of my right. So OK, so you've ordered for two Hershey's cookie and that's where a total of 1590 and this will be ready for pick up from Ventura. 15 minutes right after this call. Just to confirm this order. May I please verify your last name?My last name is bundled up BANBUG.CANDUGA it's alright.OK, and your mobile number.It's all 48 two 00201.And would you like to receive occasional deals and offers via SMS?I'm OK.All right, and the payment will be made upon pick up, right, yeah?OK, I'll submit your order. Would you like to take note of the order number?Yeah, can you just please tell me my order number?All right, so the order number is 14884 Alpha.Yeah, it's not uncommon 7C for C9.A for Alpha.148 is 7 three 19.That's correct, your food will be ready at 8:31.OK, thank you.You're welcome. Have a great evening then bye.1590Thank you.Thank you bye.",WA
7,"Hello, thank you for calling Pizza Hut this joy can I have your name please?Ah ha joy. My name is ******.I was just speaking to Matthew.OK.And mix.OK, sorry for that man. Uh, what was your concern? Were you trying to place an order?No, no, I just had a query. Uhm, I just um were looking. I just wanted to get the sizes of the Peach, so which Matthew gave me. But then I was just asking, well, if we're looking at placing an order for tomorrow's lunch for about 15 to 20 pieces and I just wanted to make sure that you were able to do that.And then I was cut off.Yeah, I can play Satnam if you want, or.In direct you to the store since that's for tomorrow, right?Oh OK, so I'm not speaking to Patterson.No, ma'am. You're you're aware, oh, you were routed to the contact centre. So which store was that?I promised and 0830.Palmerston OK.ThroatyOK, let me call the storm amel direct you, since your order will be for tomorrow. OK, no worries. Please stay on the line.So.",NT
8,"Thank you for calling Pizza Hut. My name is Karen may have your name please.About 90 Angela Karen.Yes, Angela are you going to pick up a Beverly Hills Hills Pizza Hut?Thank you, let me just pull up the details.So that is the one in King Georges Rd.Let's see here.So as a man.Estimated time right now is 15 minutes for Beverly Hills. Would that be OK with you?That's fine alright. Go ahead please for the order. I just want the unreal large americano pan to be picked out. Very ugly source.Very little sauce.OK, so that is large americano pan.And last sauce.Yes please. I'm just not hear very little sauce.Literally anything, anything else like passed away in size, asserts drinks just one moment.I hope she.No, that's all thank you. Just one large pizza. Thank you. OK, so that's 100 large americano pan that is $7.00 total and your name is Angela, is that a an GLA yes but my husband George is picking it up George to want to pick up. I'll just put Georges name here and may have your contact number.Mobile number, not about numbers at school when I.347is there a 21?And I'd like to make a complaint last time I ordered.A patient I gave him my mobile number. I said that I didn't want any messages.Regarding on my mobile.And I I've got three since last time.Oh, this this number that you gave me ********** right right? OK, now submit a feedback as well in your behalf to remove this one. OK, not to receive um deals or offers.Regardinghe updates OK and how are you going to be order? It'll be cash.Cashpoint pickup and Lastly, would you like to take note of your reference number?I haven't got a pain on me, darling.So you can just ask George to say his name once you reach a store.I don't know. It's here you very much for calling inspired meal.",NSW
9,"Want to chat minimis? Karen may have your name, please.***** Yes ***** are calling for pick up or delivery.Already placed my order.And I come, I can't track it.Let me just check out for you what was the name of the store can leave ale.Or an? What was the mobile number placed? Um, when the order was created?Therefore ********.Just pull up the details so that we can leave Ale.What time is it at your place now?I'm it's nearly seven 37725 right now.Just shack.Let's see here.So this would Canley Vale.Let's chat.What's the order under a place under your name?Yeah, it's under my name TIPE.SAgo ahead.Yeah, that's it.Thanks.Let's see, I'm just a checking. I'm just loading the details here.Let's see here.Huh?It's showing here that the delivery has been completed.So, but until now, you haven't received the order, is that right?Ah, because I can't track anything, so I don't know because I'm sending it to my brothers house. So that's why I will.Let me just check, oh OK, I'll try to call the store 'cause based on the tracker is showing it still in the oven. That is what I'm seeing here, but to check It can't be delivered yet. 'cause I just ordered it so but I just I wanna track it so I know when it's delivered.Oh OK, so I'm seeing here that let's see here.So estimated arrival time for this one 801. And yes, the store was able to receive the order an it's already in the oven as of this time.Yeah, but can I track it?Yes, using the reference number.But you have to enter the full reference number, so that's TIPESA including the underscore dash and the 8 characters after that one you have to enter the whole set of reference number.Yeah, I'm going to find.So that will be in the the email.Confirmation you receive.OhOK, let's see.Order reference number. So in the website right on track order.And then you have to answer the full details. OK track order.OK, it says your order is getting ready to be delivered.Is that correct? Yes, so it means that the store is preparing the order of 20 minutes 20 minutes before the delivery. Estimated delivery time storage should be preparing for delivery or waiting for the driver already.OK, thank you so much. Thank you very much.Level up.Take Care now.Thank you very much.I.",NSW
10,"Welcome to Pizza Hut this is Lillian can I have your name please?Hello ***** calling how are you?Hi *****, are you ordering for pick up or delivery?Add delivery I can't track my order number.OK, so you already placed an order online. Yes, yes.OK, which store did you place the order?Syracuse.Sorry Hills.OK, can I have the mobile number that you use when you place the order?***********.An order is under your name. Can you please spell mom your first name?Yana sorry.Yana.YanAA.OK Anna.OK, yeah, I'll just place a call on hold for a minute or two. I'll just check in the system the order status. OK, alright thank you and align welcome.Hello Mommy Anna.Yes, yeah. Um actually when I checked in the system I couldn't see an order associated to the mobile number, but let me contact the store. Difference I. I've got a reference number.Yeah, please yeah it's my Capital Y.Ana underscore capital BA.Hyphen C from capital 024 F for Frank 591.That is, at 0024 F 591, yes.OK, I'll try to check with this order number OK. Extend the line.Hello man.Yes yeah, OK. I I tried to check it in one of our system and I can see here that uh, for the status of the order that it's already on its way and will be with you in one minute. So it's already been alright so will I receive a call or?Yes, ma'am. They will contact you if they couldn't find a place they will be. They will contact you on your mobile, but it's already on its way and will be with you in a short minute. OK, OK alright thank you so much welcome. Thank you for calling Pizza Hut. Thanks bye.",Victoria
